ID,participantID,answeredOn,trialStart,trialEnd,trialTime,mode,Condition,DataTypeOrder,ChartType,QuestionType,DataType,questionNumber,overallQuestionNumber,ErrorCount,trial,block
804,18,2021-07-26 17:54,Mon Jul 26 2021 12:54:06 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:54:18 GMT-0500 (Central Daylight Time),11820,study,2,0,sankey,A,immigration,2,6,0,37,4
803,19,2021-07-26 17:54,Mon Jul 26 2021 12:54:06 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:54:14 GMT-0500 (Central Daylight Time),7637,study,3,1,chord,B,immigration,5,6,0,20,2
826,19,2021-07-26 17:55,Mon Jul 26 2021 12:54:17 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:55:02 GMT-0500 (Central Daylight Time),44705,study,3,1,sankey,A,debt,1,6,0,21,3
814,18,2021-07-26 17:54,Mon Jul 26 2021 12:54:18 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:54:35 GMT-0500 (Central Daylight Time),16956,study,2,0,sankey,A,immigration,3,6,0,38,4
835,18,2021-07-26 17:55,Mon Jul 26 2021 12:54:35 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:55:15 GMT-0500 (Central Daylight Time),40579,study,2,0,sankey,A,immigration,4,6,5,39,4
824,22,2021-07-26 17:55,Mon Jul 26 2021 12:54:50 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:55:02 GMT-0500 (Central Daylight Time),11547,practice,2,-1,sankey,A,sample,3,6,1,1,1
833,19,2021-07-26 17:55,Mon Jul 26 2021 12:55:02 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:55:16 GMT-0500 (Central Daylight Time),13914,study,3,1,sankey,A,debt,2,6,0,22,3
832,22,2021-07-26 17:55,Mon Jul 26 2021 12:55:02 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:55:15 GMT-0500 (Central Daylight Time),13324,practice,2,-1,sankey,A,sample,4,6,0,2,1
841,22,2021-07-26 17:55,Mon Jul 26 2021 12:55:15 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:55:31 GMT-0500 (Central Daylight Time),15426,practice,2,-1,sankey,A,sample,5,6,1,3,1
837,18,2021-07-26 17:55,Mon Jul 26 2021 12:55:16 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:55:22 GMT-0500 (Central Daylight Time),6164,study,2,0,sankey,A,immigration,5,6,0,40,4
844,19,2021-07-26 17:55,Mon Jul 26 2021 12:55:16 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:55:37 GMT-0500 (Central Daylight Time),21215,study,3,1,sankey,A,debt,3,6,0,23,3
847,19,2021-07-26 17:55,Mon Jul 26 2021 12:55:37 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:55:47 GMT-0500 (Central Daylight Time),10159,study,3,1,sankey,A,debt,4,6,0,24,3
858,19,2021-07-26 17:56,Mon Jul 26 2021 12:55:47 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:56:12 GMT-0500 (Central Daylight Time),24365,study,3,1,sankey,A,debt,5,6,0,25,3
864,19,2021-07-26 17:56,Mon Jul 26 2021 12:56:13 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:56:31 GMT-0500 (Central Daylight Time),17829,study,3,1,chord,B,debt,1,6,0,26,3
872,19,2021-07-26 17:56,Mon Jul 26 2021 12:56:31 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:56:47 GMT-0500 (Central Daylight Time),15497,study,3,1,chord,B,debt,2,6,0,27,3
880,19,2021-07-26 17:57,Mon Jul 26 2021 12:56:47 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:57:07 GMT-0500 (Central Daylight Time),20574,study,3,1,chord,B,debt,3,6,0,28,3
887,19,2021-07-26 17:57,Mon Jul 26 2021 12:57:07 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:57:18 GMT-0500 (Central Daylight Time),10500,study,3,1,chord,B,debt,4,6,0,29,3
892,19,2021-07-26 17:57,Mon Jul 26 2021 12:57:18 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:57:39 GMT-0500 (Central Daylight Time),21271,study,3,1,chord,B,debt,5,6,1,30,3
907,19,2021-07-26 17:58,Mon Jul 26 2021 12:58:04 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:58:18 GMT-0500 (Central Daylight Time),13226,study,3,1,sankey,A,phone,1,6,0,31,4
916,19,2021-07-26 17:58,Mon Jul 26 2021 12:58:18 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:58:35 GMT-0500 (Central Daylight Time),17481,study,3,1,sankey,A,phone,2,7,0,32,4
919,22,2021-07-26 17:58,Mon Jul 26 2021 12:58:23 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:58:46 GMT-0500 (Central Daylight Time),23546,study,2,0,chord,B,debt,1,7,1,1,1
921,19,2021-07-26 17:58,Mon Jul 26 2021 12:58:35 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:58:50 GMT-0500 (Central Daylight Time),14627,study,3,1,sankey,A,phone,3,7,0,33,4
927,22,2021-07-26 17:58,Mon Jul 26 2021 12:58:46 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:58:59 GMT-0500 (Central Daylight Time),12445,study,2,0,chord,B,debt,2,7,0,2,1
929,19,2021-07-26 17:59,Mon Jul 26 2021 12:58:50 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:59:00 GMT-0500 (Central Daylight Time),10098,study,3,1,sankey,A,phone,4,7,0,34,4
944,22,2021-07-26 17:59,Mon Jul 26 2021 12:58:59 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:59:24 GMT-0500 (Central Daylight Time),25739,study,2,0,chord,B,debt,3,7,0,3,1
939,19,2021-07-26 17:59,Mon Jul 26 2021 12:59:00 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:59:15 GMT-0500 (Central Daylight Time),15441,study,3,1,sankey,A,phone,5,7,0,35,4
948,19,2021-07-26 17:59,Mon Jul 26 2021 12:59:17 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:59:32 GMT-0500 (Central Daylight Time),14352,study,3,1,chord,B,phone,1,7,0,36,4
950,22,2021-07-26 17:59,Mon Jul 26 2021 12:59:25 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:59:37 GMT-0500 (Central Daylight Time),12099,study,2,0,chord,B,debt,4,7,0,4,1
956,19,2021-07-26 17:59,Mon Jul 26 2021 12:59:32 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 12:59:49 GMT-0500 (Central Daylight Time),16927,study,3,1,chord,B,phone,2,7,0,37,4
965,22,2021-07-26 18:00,Mon Jul 26 2021 12:59:37 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:00:05 GMT-0500 (Central Daylight Time),28159,study,2,0,chord,B,debt,5,7,4,5,1
970,19,2021-07-26 18:00,Mon Jul 26 2021 12:59:49 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:00:21 GMT-0500 (Central Daylight Time),32522,study,3,1,chord,B,phone,3,7,0,38,4
973,19,2021-07-26 18:00,Mon Jul 26 2021 13:00:21 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:00:31 GMT-0500 (Central Daylight Time),9719,study,3,1,chord,B,phone,4,7,0,39,4
983,19,2021-07-26 18:00,Mon Jul 26 2021 13:00:31 GMT-0500 (Central Daylight Time),Mon Jul 26 2021 13:00:49 GMT-0500 (Central Daylight Time),18324,study,3,1,chord,B,phone,5,7,0,40,4
